Date,Total_Visits,Unique_Visitors,Page_Views,Sessions,Session_Duration,Bounces,Exits
2019-03-16,6093,e6559ef87e28b4a369bd0fd40268281c,13521,6410,627.68,1541,2016
2019-03-17,2325,d72ac2f0cd6d1af2ac01936818dcdaf3,2816,2779,818.86,681,769
2019-03-18,5976,3e06b068a6f38f5d3c33e501c6440940,7836,5603,704.19,2453,1467
2019-03-19,2159,14ed20a6ecdd85afed6ed43c2d1a9145,4671,1780,804.32,830,508
2019-03-20,5650,414e4c2e935fa07613d9402ddd99c38b,12536,6179,711.86,1760,1867
2019-03-21,5987,c426bd482804b99100f1af2aa5ca5898,15282,6039,643.67,2001,3868
2019-03-22,5697,99f3236903c6984fbcb061ae275d7763,8189,5043,721.83,1545,932
2019-03-23,1340,1bfbe82d96c2e406e51b44a8bf1ff923,2845,1491,633.8,330,368
2019-03-24,4828,8e804c1da6163fabcb09358b51f4c871,7483,4255,773.06,1710,1787
2019-03-25,2968,e54a5247f7c97aa3303bd71b985730ad,4059,2683,612.29,1201,1130
2019-03-26,1703,ec1c32aa4fb6eb5f392bbb8929aff82d,3301,1425,758.2,415,748
2019-03-27,6482,6209bd3f1b2d79d455cf826446250abb,9684,6221,865.91,3092,1398
2019-03-28,7376,98554b96f92d30fbaae356cd8eda0f56,11795,7136,851.36,1589,1305
2019-03-29,2800,5bffb0a6e0a503a838ab01efd5c5ae1a,4960,2816,864.83,1122,1106
2019-03-30,6463,a0056ba4ef5b800893748ac8c849320a,10773,7003,876.61,2342,1179
2019-03-31,5912,e4ce15f71539df7e8152bd36c76aac7a,8026,6872,631.36,2295,1786
2019-04-01,5648,90cae53b48c15c5d779190d84ef18202,7691,4829,638.62,1628,1116
2019-04-02,1855,9dd3b17e16cfab1d11df682d23ca63d0,2871,1524,767.1,423,806
2019-04-03,3866,8041ee19f6c53143fa30bf06908bc1fb,4991,3121,868.19,1294,973
2019-04-04,1182,a7bf5608ff4ff55024a9ecc31f77d3f0,2751,1013,892.3,422,398
2019-04-05,4112,958a8fd3c6f02273fbe35c03ee9c6d28,7061,4371,613.88,1244,1910
2019-04-06,6670,aed5dd04b36a448f1c06c383ac62052d,11362,7276,706.73,3278,1713
2019-04-07,5492,693c26d58619c949336d4debaab64e93,9872,6121,663.87,1806,1592
2019-04-08,6823,7ce74c7d6b64133066a24370b4894597,16327,6123,826.79,2556,4357
2019-04-09,2517,ecdcc315391b9e5850f4125bbc80c59d,6964,2321,792.06,548,1126
2019-04-10,6002,24ec7a101d31f24770bd7ce15ab049d2,15403,5961,635.97,1494,2803
2019-04-11,2356,abfe239c50b7240653fdd14f506c7650,5912,1944,745.06,573,1002
2019-04-12,4629,874a23e28577059dc6f52fbc3548290b,9590,4834,805.63,1828,1182
2019-04-13,4628,9954946029b2c57f851db2a8d3a50330,11333,5523,833.7,2174,1221
2019-04-14,9210,4878c3311c498a3797bf74d1707c498a,20215,8697,606.02,2773,4950
2019-04-15,7132,4c5ce2e3c5abdeea97c5654ad5cd9aeb,11334,7853,867.14,1754,2595
2019-04-16,7588,01e8f194a524a06c457b8c989501574e,11954,7588,770.78,2368,1870
2019-04-17,4311,a6188f5e33303646ab9d1460b9909483,7473,3669,843.57,1492,1189
2019-04-18,7048,f62ad146f83d8cb922e99be317c65c10,20012,7279,842.38,2921,5783
2019-04-19,7246,b81cb0200f075f7d19498be12bc04122,15835,6665,656.96,1653,4711
2019-04-20,1987,c40b22ff8703e8f7117fe136e2a1c004,5009,1616,633.05,327,975
2019-04-21,4321,64f013e8f596f8775cf59c24f341efa0,7880,4554,816.39,1939,2052
2019-04-22,5615,4099cc2dac8ad9f7bc271c041145a72b,10858,6421,646.93,1489,2685
2019-04-23,9365,0d155dd6bdb1fa79fe0d82d5751251ce,13354,8783,854.98,1973,2129
2019-04-24,4741,029ce81e12575880f3ddd07cfae18e2a,7150,4532,817.86,910,798
2019-04-25,4052,20458a70589f34f86554fcfe18f6d3dc,10896,4685,852.55,1545,1400
2019-04-26,7574,5cb89b5abcfdf3243b9b60306b07c17e,17062,8524,689.7,2991,4566
2019-04-27,1726,028ae77e76f426319e40fcee080ae832,3119,1874,694.98,733,768
2019-04-28,4760,7ecfdeec3f4ed4e86586de5c6aed6968,12590,4281,801.37,1236,2931
2019-04-29,6806,eb2d277bb5b2c93ba342d641a5acd57a,11187,7922,609.43,3273,1411
2019-04-30,2875,16f95ec93f83c7df20c8033ab8f1c065,8500,2477,817.95,621,1938
2019-05-01,7993,20dd0a24cdf6a7515e93032d6af6272f,14552,8398,850.73,3775,3702
2019-05-02,5033,f6e0855c02a653aba7ade958c6222371,9095,4084,724.55,1517,2475
2019-05-03,6443,67aa70eb6f0321a053f99e4edd6fe215,11348,6813,829.46,2556,1164
2019-05-04,1989,d1ac7f55764a25ee2679e58dd2bb76aa,2823,1811,652.38,476,668
2019-05-05,4744,941ed4581a1fffb1a88f2bc9a53a0041,6641,4648,696.68,1033,689
2019-05-06,9611,0fdb355b82706178b5d9e1784c882fc7,22745,9016,892.29,3060,5490
2019-05-07,1593,9c7c94efbae969017287c9a9351ec182,4420,1384,895.9,532,1004
2019-05-08,2774,c52dca9eb5d362b7623c0a08dce7450c,7276,2909,753.78,664,943
2019-05-09,1935,17849ef8575d496472d097b21d298a79,2813,2230,880.28,1082,712
2019-05-10,4808,acbd6f6ced69125fc03faf9e4b29e18b,10491,5690,756.82,2812,1192
2019-05-11,1331,d1747cb552d3d212a10aaf58012c4830,1850,1167,687.48,424,490
2019-05-12,8922,6d15459c410eea3f5425cd47d93b447d,11433,9697,680.07,4703,1742
2019-05-13,3702,c0a9e1765cd86eac605098cd86b8c6a3,8816,3945,878.85,1001,2096
2019-05-14,6889,5bfbe0b673e320f0ff3cefc1823a2f80,14902,6457,651.73,1340,4243
2019-05-15,6054,f96ffa74a04de1b69d331b6e808c073b,8158,4889,773.89,1035,1370
2019-05-16,4868,4a7c3f89cd11a0fdd4d02e4874480a81,6147,5237,766.66,1970,1233
2019-05-17,5200,2d3536eafa9dc71112c3b3e6e8a4a7c6,15504,6126,821.89,1338,2986
2019-05-18,1201,d449ad3961b0e08f480a451e94bf93e8,1506,1264,749.77,616,198
2019-05-19,3497,6304b92cc34562f4d777512a05eb78af,6994,3406,681.69,826,1525
2019-05-20,2842,99f3236903c6984fbcb061ae275d7763,5991,2870,650.82,836,1489
2019-05-21,5658,50833b6940569d3a3a59b7e1d66f9ddb,7984,4978,786.25,2224,2262
2019-05-22,8544,cd803ca542a526f1275e826d676b5fb6,12852,9400,815.7,2496,3472
2019-05-23,8718,d9d2837d69b7c0c711e7d764cd3ef8b4,15982,9577,770.86,2613,3228
2019-05-24,1770,6999cc61d0505a69fa330a1ae28f59f1,4550,1519,821.51,596,1109
2019-05-25,4155,a4336f127d6595de9278a10c32cf4c5f,8778,4783,642.46,1352,2283
2019-05-26,2628,c5b67fbb79a2f12ebb81088d33b45556,6171,2385,864.74,632,1226
2019-05-27,1386,6b76198731392cb81c8decac6ca32fb4,4121,1653,774.72,456,507
2019-05-28,7031,a11325410be5990954764ff9f613fca9,18156,6701,638.05,2326,3405
2019-05-29,7439,39131ef357f8e0a7a2a009a5a19c0238,14742,6480,738.58,3174,3958
2019-05-30,7401,e82e2aa984d98b098ca565d637f2f443,14828,6962,853.44,3130,3252
2019-05-31,5008,a43fa7769f084202dce934ce086b4d07,11587,4888,869.27,1395,2837
2019-06-01,3466,e57f319938b5185b711dbab0cad6ba5f,8310,2868,679.39,886,1138
2019-06-02,3282,a837304b3b413b72eccc0ce726d4a925,6896,3384,813.38,1148,2019
2019-06-03,2856,a266e29fc847620404241c8d01ffbbe2,6742,2967,630.0,1465,1219
2019-06-04,8980,5b29923c44bdf4e314b4c609df562bbb,11156,9838,610.06,2476,2574
2019-06-05,2998,4526685a285973cf67fbc546aa83ed7e,5916,2433,768.12,747,613
2019-06-06,6476,a488781ecd845e5473027fe3e41aef07,11022,6582,808.45,2757,1382
2019-06-07,5669,c74c4e245293f73d13204a738233ae3b,8120,4655,838.74,2277,2082
2019-06-08,5318,fee449d12b95ac8dca2ef5a8e30ddd13,7334,5745,702.06,1417,2153
2019-06-09,8064,26f164aca17073aa90e60c5e0b44be58,18432,6630,601.96,1778,3023
2019-06-10,8446,ee0de319bbf38a4c02100f96d6c36702,18095,9836,743.86,2633,1944
2019-06-11,2431,03c64c5b358dbc2953c95289caa77125,4026,2627,604.76,542,693
2019-06-12,6624,b20c89112c446e285ccf01b1f3e35a72,13564,6643,627.6,2532,1403
2019-06-13,8461,a9f8d05647fd2ab2fb3a57bf4cf6bdf1,17649,8263,698.01,3315,2444
2019-06-14,2819,716f43077a2b9cc27cd6835b55f9c2d0,4372,2402,731.15,914,1095
2019-06-15,2130,30dcaf9c7a235e1d3b6ee28dfdea6f91,5056,1951,683.84,432,1453
2019-06-16,7563,733ddde6935c44bbe5100395c7fcf0cc,19706,8679,774.56,1916,2315
2019-06-17,3658,ca85a43a309c789f07ee7fd72961086b,9600,4249,616.6,1118,2031
2019-06-18,4500,e56a092baac17b6f38200957b24c1801,10280,3601,643.37,1033,1549
2019-06-19,9566,5deeb1a2742d6108f9954295241e0321,20289,9926,808.58,4327,2593
2019-06-20,3120,f5c396223f8a037f7ce4ac3469abcc61,4086,3393,642.64,841,587
2019-06-21,5020,1f079a6cf315342b89523f14b93482e4,8624,5258,791.93,1121,1859
2019-06-22,4259,bbcc94074d491744aefb9d15d2b703a3,5825,3546,616.41,1128,658
2019-06-23,2823,c0a9e1765cd86eac605098cd86b8c6a3,8285,2504,722.21,813,1548
2019-06-24,2474,5b0d751f366b7deeb06ef680de114f37,3570,2226,653.22,746,453
2019-06-25,3242,666ffd526ea9c7f70f48ef2488db4854,4776,3672,632.89,1645,738
2019-06-26,4243,a5414d74ee7da8a24314eb17c940a637,11885,4180,770.11,959,1642
2019-06-27,7990,31ddeb4dbe4b656c4a0ab137cdebbce3,23163,7947,878.5,3268,6406
2019-06-28,6160,95db5b25ed63a21308728df8a5c87812,15883,7231,616.44,2179,3837
2019-06-29,4134,fb5dd06e4569594e91d9b83fa9db7391,5001,4360,726.47,1277,1368
2019-06-30,3070,031156469231597e49afae6865c2d6e5,3691,3559,812.26,1707,652
2019-07-01,1359,c14dc2cd622f676fae2dd3024e92ba84,2555,1335,738.81,366,415
2019-07-02,2141,9fed9ed0937adaa469084f8342c28ca8,3121,1840,841.95,722,549
2019-07-03,2635,d149bfc5696c3ed63af8905bb17cddfd,3249,3088,653.89,872,336
2019-07-04,5000,d64d527c16fd3eb1ccc256ff91a779f9,10176,4917,887.88,1731,2492
2019-07-05,4361,4f38cb633ef2ca7ceb16deaeb0b52b60,12636,3805,715.55,1658,2147
2019-07-06,7583,6404daa0c4ca562bbee2f72191e23b6a,13519,6983,702.47,3244,2199
2019-07-07,8835,1af757e63066d1237fb567856f3ac0ee,21116,7247,862.38,3273,4637
2019-07-08,1006,11c33fbdd8107d26b31186f6726fbe14,2388,993,769.16,372,447
2019-07-09,4267,56352dbe5a71221e7be813bf85882f38,7048,4869,754.93,1337,2087
2019-07-10,7564,845d8c33cb3d4e915d7143e70734fd3e,17932,8875,818.09,3535,3070
2019-07-11,5928,743e12415af5bcee2c216407fa6032e1,9379,6953,773.95,2871,2089
2019-07-12,3606,3f2a1571298f453686af7eb21cd2ac1d,5119,3065,648.75,622,830
2019-07-13,6906,7cff65553ba87aab38aefdd94196df02,17005,6580,802.26,2183,5069
2019-07-14,4273,0a97d45485907166f2d38bbbed739a00,6000,3466,640.04,1570,1134
2019-07-15,8611,7b1466df37017b6a66e9821e5be4ff50,25785,9834,841.76,3411,5848
2019-07-16,1913,93607432fe0dba171ccb3b21e09a8004,2927,1804,896.92,529,366
2019-07-17,3011,3c1263137e848f395420e68f9827e4f6,6833,3168,713.22,1462,1685
2019-07-18,2442,65f786001e0ef96ba3a24be931196475,4738,2651,733.43,654,729
2019-07-19,6546,6e9aad4b7e94daac618071e7b565abe2,9344,6362,613.93,1666,1772
2019-07-20,2829,c9dbd62ba6b10f78cee496b43adf576d,3536,2609,604.12,1060,978
2019-07-21,9767,7afc11b725033b4bba3eac8585b30a11,22668,11572,876.43,3538,6667
2019-07-22,7468,bae0179826dc44a38d9d9ea31ae2b2b5,19806,8855,638.59,3665,3662
2019-07-23,1929,1d46ef0e3edc0c872b26332cf058906c,5238,1766,733.73,436,1398
2019-07-24,4699,443ec71ea1a2ea89f4fc289c593f7f09,9721,4660,844.61,1284,1075
2019-07-25,2054,3ca5a04e3ea88939a791faed81646aa4,5339,2442,866.8,603,1438
2019-07-26,6744,08fa644e05fc64f2c38a3fa2271083ad,16260,5408,755.82,2627,3673
2019-07-27,2900,0e6056478735ac9d01ef1235cc179fb9,7260,2798,769.51,900,1435
2019-07-28,7980,a8271467ba23ee16e1e22e1db908d85a,16651,6704,800.91,2019,4629
2019-07-29,8069,c0ce6d29b407b6b3211a0a72d3ce9c65,18882,8098,888.41,1654,5080
2019-07-30,4415,aa8846bd0c7895cfbbe152352627214b,11699,3575,780.8,879,1864
2019-07-31,1442,15eba60e16905e97a3327e249dbe16db,2763,1388,767.84,453,713
2019-08-01,7218,1bc7f0400a41b7123c27da89a12cc8b8,19133,6411,604.36,1414,2294
2019-08-02,5652,e9675ac11b6641f43a280b32d00c303f,12805,5727,624.28,2023,3387
2019-08-03,8939,288f6bd0fe8af60aca05282c466ea634,13396,10712,773.15,3604,3149
2019-08-04,8833,b7561fccd671994cc557a190842cb94d,10992,9894,880.87,4256,1292
2019-08-05,8597,1cb67596272b54b339d03c49814e4110,15929,9785,860.01,3894,3769
2019-08-06,5458,a191723bf69dfbe9bd6596979d00c24c,11920,5753,894.77,1920,2576
2019-08-07,7591,670a4c073f37c6a33b0481d9f34012c2,20584,6198,758.35,1657,4506
2019-08-08,3309,d1e253f1d192ab438d257d694510fb99,4730,2920,836.38,1221,748
2019-08-09,7268,5f1830d022c498f2f6059fce25d734b8,19190,8503,852.12,3506,2941
2019-08-10,1910,0b18e60589761da9a2e48430b45e7777,5259,1807,794.41,444,1327
2019-08-11,5340,b27b50e4e83994645e0fdb692c52946d,7856,4493,701.62,2131,1189
2019-08-12,5009,b4d1e53cb147cc75f1ec9bb14c8a6689,13688,5414,740.99,1187,2590
2019-08-13,7628,68e63d31279dbe6bc88f9600d29d50cc,22766,7016,857.38,1519,5440
2019-08-14,3169,c32d5687b35b06f99971fe7cd58684c3,7948,2876,689.56,736,921
2019-08-15,3172,4fbc5271b702236e3e734639df69208c,8287,3803,877.12,1798,1814
2019-08-16,6668,6d5b218af23106336ef517a7a38b0fce,19936,7623,668.94,2713,4343
2019-08-17,7313,6de1e4f0714adeef2df960a7772f5558,16745,7043,824.85,3073,3966
2019-08-18,9315,7be0fb9190aa5438e9bb59f323e07f7e,16340,11104,789.17,2979,2842
2019-08-19,9036,176a482ad5589f3964870ea96eac0f94,24465,9578,824.88,3324,4643
2019-08-20,7789,32b8d162a5483a1edf0f431ae819fc98,17962,8543,731.2,2626,2981
2019-08-21,1785,ae7d0e5cf41e7a6e59c1c2350e0aab9b,4009,1450,879.79,650,1048
2019-08-22,7139,6bca54a871ef437664eadc5b942711fa,11826,6058,789.74,1252,1491
2019-08-23,7344,f3bec90973c8cfdf9203574403dcb276,18810,7734,686.49,2112,5503
2019-08-24,3416,08d3a49710ca9a35a541020016db9a4a,4601,3961,791.54,973,1044
2019-08-25,9988,4a47866d4bfedbd6ae68a9661bfdf65e,28602,10482,686.04,4798,7933
2019-08-26,5154,12522fb04b89b6ae003883cfed1071af,9207,4399,688.09,1496,1705
2019-08-27,6619,6a944193bdd890527e0b8731606c110b,9465,5601,719.88,1799,1575
2019-08-28,2936,ca5da4943842a33f10940f7a24ac4d35,5861,3340,855.73,1118,1641
2019-08-29,4807,f4e6dd1ab1b2e863388fe0ffef88f2dd,6135,4113,750.09,2022,734
2019-08-30,8151,4a7daf0d56445ae1881cd6d483be8753,19825,8216,803.67,3739,2446
2019-08-31,4236,bb640eb8250ff322567a401240dd6a2e,11966,3451,717.59,1421,1913
2019-09-01,3352,5c9ae8cf7fd8b010b296d77c9b326677,9074,2789,679.08,801,2649
2019-09-02,2932,39fb499873f59c5541329e50029cd11a,4190,3134,886.39,782,949
2019-09-03,9556,462eee3cd0b7932efd1cc15044efc164,13639,10279,781.07,4897,2875
2019-09-04,5916,98e0d13b36b77c294fa34a98b90eedbb,15761,5540,880.19,1811,3799
2019-09-05,6498,1b3ded0491ebf5a7d932bd03b872a5c3,18608,5758,661.02,1633,3414
2019-09-06,1946,dfc81d0b9945208f46936f4ec7883ddf,3948,2190,644.07,747,993
2019-09-07,2439,288d0689f8c8e6ffd240899cfd416bc0,5117,2163,856.75,1028,914
2019-09-08,8730,2399e2a9dcb65427701cc5e61a8df56d,15477,8876,804.28,2806,4105
2019-09-09,5857,33419abfad60f9e5a9017d5f1ae4f7c5,16456,6953,655.97,2564,2525
2019-09-10,1340,22a9977c7082588d042ea90d89629b25,3163,1151,680.81,507,491
2019-09-11,1382,21808885ab0d2c0c7b284d4d7d4a6bb1,2375,1625,840.2,533,485
2019-09-12,9491,cb6904e16c94aa2bac0ee353946b9714,16493,8287,736.16,2238,3070
2019-09-13,1138,2e218d21bda1adfeaa208018817ba73f,3191,1168,801.16,582,732
2019-09-14,1358,8590152bfb4150f0571bd78825657f19,1662,1291,695.51,628,287
2019-09-15,5931,2d5a118f5c3fb670f876270c26cc2659,10562,7033,714.37,3186,1543
2019-09-16,4456,8f3746e51375e7af398e3b09f5621dc9,9793,4052,897.21,1647,1899
2019-09-17,2627,5f0104ec5a6dfa67081473a61e8d0e36,3853,2521,674.29,727,817
2019-09-18,7626,745d496ddcf46c69e4a47e58fdc2f0c0,10415,9098,751.94,4313,1338
2019-09-19,6004,2da19f713db08dad75e2453c72500e80,16015,6091,853.32,1721,3384
2019-09-20,7652,23d02fd548308b1dd965250eb85f90bd,21501,7660,671.77,3372,3523
2019-09-21,7416,37f21bdef9b5225dba9d9bd9da913b40,19893,6697,724.56,3184,3550
2019-09-22,4170,5e49a7d6783e257677a7a3097ed88a78,11750,4505,784.53,1716,1831
2019-09-23,4835,9375101d4c2fd50b942f81710e8560ab,10615,3895,744.36,1717,3039
2019-09-24,9017,2219ef4874bdb0d224261041950536e7,24003,7392,737.85,3234,5680
2019-09-25,3151,045ea1cada39659337cb3d1aa5b94f8f,5959,3276,708.75,845,908
2019-09-26,7905,8edab1a0d3cb045dedff8d0384dc2a78,18966,7404,775.99,2964,4343
2019-09-27,3834,0a97d45485907166f2d38bbbed739a00,11424,4529,787.31,1032,3081
2019-09-28,3567,c81b3c2b4e2a091482f687c01ea6dbdf,5729,4142,795.99,1459,1033
2019-09-29,2307,58b8abc1d3334803545dc31078c888cf,4387,2504,621.11,622,1167
2019-09-30,9848,57950c433b65c200fe4048d80b501ae8,20327,11101,789.31,3606,2660
2019-10-01,3660,a274c4b4e392d3409add71e466ba715c,5301,3904,885.97,1756,1402
2019-10-02,4730,8d099489920beee1f86b752f5f936cfd,6365,4021,762.3,1995,1324
2019-10-03,7207,5f8ea70387c3a3637c5ebd1182874e3f,19412,7972,814.58,2354,2806
2019-10-04,4162,032bd78183f63b520cb2f203556d8594,12312,3679,767.02,1323,2233
2019-10-05,2140,6dfc1a3ba4d379415270d19a6c3cd5ea,4127,1988,856.42,702,1228
2019-10-06,9458,398b8915c7ad014fd0388272434aaab0,12841,10665,878.87,5186,3296
2019-10-07,2708,603f7148dc05bd629330e2635ae13b34,3570,2747,655.27,943,767
2019-10-08,4630,c457718a5a81a1cd91df633f0e503a5b,12984,5296,731.06,2170,1597
2019-10-09,4211,57c9fb219e91fadfe86daf021c00e9b4,8568,3727,717.71,1776,1572
2019-10-10,7538,4d993b31958b5fa9d15ffa151f3e524f,13387,7862,721.56,2453,2043
2019-10-11,1475,977df26c60925225dc88b3cc993e22f7,3035,1229,637.66,578,346
2019-10-12,8684,afe6e18a4b96321e9d32346b5dd3090d,15396,9180,844.08,4363,3209
2019-10-13,2207,056dc6c2b0d6df8b7779f24d02549791,4591,2438,610.73,1168,1275
2019-10-14,2960,58a047a85e612f90d1e5035d951db126,8131,3060,758.47,860,1911
2019-10-15,1557,a6e136ac2490a2ebeecf4e4c394dc27a,3528,1411,798.56,451,529
2019-10-16,1882,60f30e18dddcaf5648e7c9ebcaf7188d,4611,1529,662.24,705,990
2019-10-17,5761,148b35ae7fccd373679e2a1d491d55b2,10694,4884,871.76,1503,3087
2019-10-18,6867,a4e932fc661e40794b61f34780c0702d,17368,7202,851.56,2737,4248
2019-10-19,7963,8a4d0177f4492092466c2cb646131386,19110,9346,741.33,2200,4546
2019-10-20,8166,22909968b30e3b9a7c0a62600b93a820,11556,7207,723.34,1563,3393
